"Reference Distance (ft, 0 kt)","Distance (ft, 10 kt headwind)",Slope (ft/kt)
1022.0,851.7,-17.03
1519.5,1324.2,-19.53
2010.5,1772.0,-23.85
2522.8,2181.9,-34.09
3011.1,2617.7,-39.34
3513.1,3058.4,-45.48
4000.0,3550.3,-44.97
