"Reference Distance (ft, 0 kt)","Distance (ft, 10 kt headwind)",Slope (ft/kt)
607.2,499.2,-10.8
809.8,669.3,-14.05
1005.8,854.1,-15.17
1204.7,1017.3,-18.75
1404.3,1203.2,-20.11
1605.5,1378.3,-22.72
1801.5,1557.3,-24.42
2010.9,1729.5,-28.14
2215.4,1928.2,-28.71
2392.8,2101.0,-29.19
